in_x,in_y,in_z,lean_out_x,lean_out_y,lean_out_z
0.000000,1.000000,0.000000,0.000000,1.000000,0.000000
-0.190360,0.966102,0.174386,-0.190360,0.966102,0.174386
0.031642,0.932203,-0.360549,0.031642,0.932203,-0.360549
0.267331,0.898305,0.348686,0.267331,0.898305,0.348686
-0.495107,0.864407,-0.087577,-0.495107,0.864407,-0.087577
0.469977,0.830508,-0.298961,0.469977,0.830508,-0.298961
-0.156929,0.796610,0.583768,-0.156929,0.796610,0.583768
-0.298086,0.762712,-0.573947,-0.298086,0.762712,-0.573947
0.643165,0.728814,0.234883,0.643165,0.728814,0.234883
-0.664689,0.694915,0.274374,-0.664689,0.694915,0.274374
0.318042,0.661017,-0.679637,0.318042,0.661017,-0.679637
0.233119,0.627119,0.743221,0.233119,0.627119,0.743221
-0.696530,0.593220,-0.403653,-0.696530,0.593220,-0.403653
0.809616,0.559322,-0.177992,0.809616,0.559322,-0.177992
-0.489344,0.525424,0.696041,-0.489344,0.525424,0.696041
-0.111915,0.491525,-0.863642,-0.111915,0.491525,-0.863642
0.679883,0.457627,0.573006,0.679883,0.457627,0.573006
-0.905016,0.423729,0.037425,-0.905016,0.423729,0.037425
0.652752,0.389831,-0.649575,0.652752,0.389831,-0.649575
-0.043166,0.355932,0.933514,-0.043166,0.355932,0.933514
-0.606577,0.322034,-0.726882,-0.606577,0.322034,-0.726882
0.949038,0.288136,0.127692,0.949038,0.288136,0.127692
-0.793886,0.254237,0.552366,-0.793886,0.254237,0.552366
0.214087,0.220339,-0.951639,0.214087,0.220339,-0.951639
0.488463,0.186441,0.852434,0.488463,0.186441,0.852434
-0.941543,0.152542,-0.300378,-0.941543,0.152542,-0.300378
0.901379,0.118644,-0.416460,0.901379,0.118644,-0.416460
-0.384672,0.084746,0.919155,-0.384672,0.084746,0.919155
-0.338014,0.050847,-0.939766,-0.338014,0.050847,-0.939766
0.885062,0.016949,0.465164,0.885062,0.016949,0.465164
-0.966831,-0.016949,0.254854,-0.966831,-0.016949,0.254854
0.540138,-0.050847,-0.840039,0.540138,-0.050847,-0.840039
0.168767,-0.084746,0.982006,0.168767,-0.084746,0.982006
-0.785039,-0.118644,-0.607978,-0.785039,-0.118644,-0.607978
0.984923,-0.152542,-0.081599,0.984923,-0.152542,-0.081599
-0.667173,-0.186441,0.721194,-0.667173,-0.186441,0.721194
0.004758,-0.220339,-0.975412,0.004758,-0.220339,-0.975412
0.649808,-0.254237,0.716319,0.649808,-0.254237,0.716319
-0.953503,-0.288136,-0.088370,-0.953503,-0.288136,-0.088370
0.754125,-0.322034,-0.572354,0.754125,-0.322034,-0.572354
-0.167262,-0.355932,0.919421,-0.167262,-0.355932,0.919421
-0.490469,-0.389831,-0.779405,-0.490469,-0.389831,-0.779405
0.873577,-0.423729,0.239411,0.873577,-0.423729,0.239411
-0.791059,-0.457627,0.405959,-0.791059,-0.457627,0.405959
0.302727,-0.491525,-0.816553,0.302727,-0.491525,-0.816553
0.320803,-0.525424,0.788045,0.320803,-0.525424,0.788045
-0.749086,-0.559322,-0.355006,-0.749086,-0.559322,-0.355006
0.769307,-0.593220,-0.237185,0.769307,-0.593220,-0.237185
-0.393841,-0.627119,0.672020,-0.393841,-0.627119,0.672020
-0.157542,-0.661017,-0.733646,-0.157542,-0.661017,-0.733646
0.586237,-0.694915,0.416436,0.586237,-0.694915,0.416436
-0.679456,-0.728814,0.084679,-0.679456,-0.728814,0.084679
0.419196,-0.762712,-0.492489,0.419196,-0.762712,-0.492489
0.022030,-0.796610,0.604092,0.022030,-0.796610,0.604092
-0.390970,-0.830508,-0.396734,-0.390970,-0.830508,-0.396734
0.502137,-0.864407,0.025675,0.502137,-0.864407,0.025675
-0.338712,-0.898305,0.279861,-0.338712,-0.898305,0.279861
0.050012,-0.932203,-0.358463,0.050012,-0.932203,-0.358463
0.146409,-0.966102,0.212631,0.146409,-0.966102,0.212631
-0.000000,-1.000000,-0.000000,-0.000000,-1.000000,-0.000000
